epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,586.596,1.59462,3.30317,1.09893,0.00257,0.77206,0.00485,0.00205,1.76737,4.57584,1.06163,0.000651163,0.000651163,0.000651163
2,1159.52,1.60809,2.01788,1.0887,0.7627,0.14706,0.40454,0.21329,1.71168,3.42586,1.02005,0.00129174,0.00129174,0.00129174
3,1961.97,1.59706,1.6438,1.0954,0.83767,0.75887,0.86155,0.42485,1.62902,2.08562,0.99156,0.00190591,0.00190591,0.00190591
4,2573.94,1.60841,1.39613,1.09469,0.85912,0.80882,0.85272,0.41924,1.81293,1.33732,1.12347,0.0018812,0.0018812,0.0018812
5,3030.49,1.62687,1.21464,1.09345,0.96847,0.90341,0.95895,0.49611,1.57705,1.13149,0.99516,0.0018416,0.0018416,0.0018416
6,3487.7,1.5076,1.04921,1.07383,0.90582,0.91934,0.96364,0.50484,1.68325,1.08429,1.05303,0.001802,0.001802,0.001802
7,3949.06,1.47694,0.93504,1.05484,0.93637,0.90441,0.94187,0.51006,1.65647,1.03706,1.0103,0.0017624,0.0017624,0.0017624
8,4396.58,1.55727,0.94249,1.0617,0.9677,0.88107,0.93721,0.50569,1.62799,0.9764,0.99361,0.0017228,0.0017228,0.0017228
9,4850.38,1.45938,0.86476,1.04557,0.95527,0.94217,0.97812,0.53465,1.53093,0.86602,0.99191,0.0016832,0.0016832,0.0016832
10,5318.1,1.48329,0.82534,1.04294,0.97146,0.94118,0.96826,0.54456,1.55773,0.86165,0.98391,0.0016436,0.0016436,0.0016436
11,5770.8,1.43683,0.78928,1.02109,0.96057,0.89573,0.95894,0.55032,1.55724,0.88929,0.98858,0.001604,0.001604,0.001604
12,6211.32,1.44811,0.78384,1.04894,0.97509,0.95588,0.97224,0.568,1.52724,0.80792,0.9736,0.0015644,0.0015644,0.0015644
13,6665.75,1.41302,0.75104,1.01208,0.97686,0.93123,0.97517,0.564,1.531,0.82477,0.97204,0.0015248,0.0015248,0.0015248
14,7107.64,1.43095,0.73274,1.01983,0.95552,0.94774,0.96218,0.56345,1.56426,0.77245,0.98528,0.0014852,0.0014852,0.0014852
15,7557.52,1.45047,0.73493,1.0215,0.96674,0.93382,0.9604,0.57659,1.52219,0.76924,0.97142,0.0014456,0.0014456,0.0014456
16,8003.61,1.40834,0.709,1.03683,0.96607,0.95588,0.96383,0.5559,1.55183,0.77419,0.97427,0.001406,0.001406,0.001406
17,8455.5,1.44008,0.72735,1.02899,0.97545,0.96324,0.9721,0.56636,1.45557,0.7427,0.94475,0.0013664,0.0013664,0.0013664
18,8907.32,1.41023,0.70017,1.02006,0.96951,0.97059,0.97572,0.58668,1.4956,0.70328,0.95941,0.0013268,0.0013268,0.0013268
19,9364.69,1.36557,0.66993,0.98962,0.98206,0.97794,0.98189,0.58201,1.5003,0.7456,0.95928,0.0012872,0.0012872,0.0012872
20,9814.21,1.39283,0.65681,1.01063,0.98506,0.96971,0.97738,0.5566,1.50534,0.69694,0.96156,0.0012476,0.0012476,0.0012476
21,10253,1.34259,0.65311,0.992,0.98483,0.9548,0.97686,0.59722,1.49296,0.69749,0.96544,0.001208,0.001208,0.001208
22,10701.7,1.38209,0.66619,1.0036,0.94873,0.95239,0.96709,0.60658,1.47741,0.68327,0.94865,0.0011684,0.0011684,0.0011684
23,11156.4,1.37313,0.65746,1.00879,0.97284,0.97059,0.98267,0.58952,1.47816,0.64165,0.95454,0.0011288,0.0011288,0.0011288
24,11598.2,1.33772,0.63597,0.97924,0.94889,0.95557,0.97163,0.57747,1.50509,0.69103,0.95213,0.0010892,0.0010892,0.0010892
25,12044.2,1.33438,0.65067,0.97702,0.97051,0.96781,0.98068,0.57455,1.43948,0.70504,0.93542,0.0010496,0.0010496,0.0010496
26,12497.3,1.3436,0.6273,0.99239,0.97175,0.97059,0.97829,0.57264,1.42677,0.70512,0.93563,0.00101,0.00101,0.00101
27,12946.2,1.35546,0.63609,0.9932,0.95961,0.97059,0.98904,0.61411,1.46284,0.68126,0.95172,0.0009704,0.0009704,0.0009704
28,13388,1.28346,0.61479,0.98386,0.9723,0.96324,0.98487,0.59022,1.41278,0.70088,0.94064,0.0009308,0.0009308,0.0009308
29,13837.1,1.28746,0.61214,0.97807,0.97549,0.97059,0.97713,0.62001,1.42857,0.65697,0.93531,0.0008912,0.0008912,0.0008912
30,14286.3,1.35455,0.61694,0.99341,0.98527,0.98529,0.99068,0.61519,1.44387,0.63268,0.93745,0.0008516,0.0008516,0.0008516
31,14733.2,1.27472,0.59707,0.97093,0.9781,0.98527,0.98441,0.61721,1.39549,0.63071,0.93408,0.000812,0.000812,0.000812
32,15182.3,1.24914,0.57822,0.97001,0.96954,0.97059,0.97785,0.63024,1.40865,0.64391,0.93287,0.0007724,0.0007724,0.0007724
33,15635.1,1.30529,0.59406,0.99015,0.95655,0.96324,0.97202,0.61019,1.41946,0.64018,0.9341,0.0007328,0.0007328,0.0007328
34,16119.4,1.27464,0.59133,0.96583,0.98179,0.97794,0.98277,0.62844,1.35413,0.6456,0.9154,0.0006932,0.0006932,0.0006932
35,16590.4,1.25993,0.57467,0.97129,0.96954,0.97794,0.97621,0.6025,1.42753,0.61913,0.93011,0.0006536,0.0006536,0.0006536
36,17049.7,1.30527,0.58461,0.97466,0.97077,0.97692,0.97898,0.63152,1.39515,0.63183,0.92012,0.000614,0.000614,0.000614
37,17567.9,1.26719,0.56462,0.96853,0.97784,0.97332,0.98592,0.64613,1.36443,0.5998,0.92196,0.0005744,0.0005744,0.0005744
38,18031,1.25168,0.56624,0.95619,0.97013,0.97059,0.98112,0.65364,1.35546,0.58344,0.92591,0.0005348,0.0005348,0.0005348
39,18485.7,1.2794,0.56392,0.96705,0.98408,0.98529,0.99298,0.64705,1.33922,0.60393,0.91704,0.0004952,0.0004952,0.0004952
40,18929.2,1.2679,0.55428,0.96551,0.96989,0.97794,0.99103,0.65216,1.35558,0.60643,0.9197,0.0004556,0.0004556,0.0004556
41,19366.3,1.25144,0.54259,0.96843,0.98406,0.98529,0.99252,0.66421,1.32338,0.57816,0.91501,0.000416,0.000416,0.000416
42,19807,1.24308,0.53476,0.96967,0.9814,0.98529,0.99001,0.64166,1.32084,0.59816,0.91351,0.0003764,0.0003764,0.0003764
43,20249.3,1.23922,0.53768,0.96309,0.97127,0.97794,0.9818,0.64239,1.32008,0.58471,0.91845,0.0003368,0.0003368,0.0003368
44,20699,1.23217,0.52941,0.9635,0.97704,0.97794,0.98233,0.6481,1.2879,0.57284,0.91115,0.0002972,0.0002972,0.0002972
45,21138.9,1.21641,0.52362,0.95376,0.96979,0.97059,0.97914,0.65336,1.27384,0.59309,0.91253,0.0002576,0.0002576,0.0002576
46,21578.3,1.22335,0.51543,0.9576,0.97794,0.97777,0.98492,0.65422,1.26403,0.56805,0.9072,0.000218,0.000218,0.000218
47,22020.4,1.21968,0.51919,0.96434,0.97732,0.97794,0.98425,0.64705,1.26126,0.56794,0.90825,0.0001784,0.0001784,0.0001784
48,22457.7,1.18859,0.51076,0.95799,0.98442,0.98529,0.99297,0.66333,1.23433,0.56201,0.90646,0.0001388,0.0001388,0.0001388
49,22897,1.18701,0.50746,0.94867,0.9772,0.97794,0.98476,0.66829,1.22463,0.56045,0.90405,9.92e-05,9.92e-05,9.92e-05
50,23337.1,1.16305,0.49626,0.94285,0.97719,0.97794,0.98481,0.67481,1.22364,0.55945,0.9018,5.96e-05,5.96e-05,5.96e-05
